sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_counter,dataset_index,patient_id,slice_index,mean_uncertainty_hu,std_uncertainty_hu,mean_error_hu,error_uncertainty_corr
83.00245,153.46516,24.579273,0.3348410711724872,179.71829,232.96613,20.953613,0.6875117261435555,100.30689,115.61069,65.65561,201.485,147.1138,321.87625,83.00245,179.71829,63,1442,2ABA130,75,66.140335,64.02604,83.00245,0.14338233826867888
85.568405,164.07872,23.998423,0.3841748005988866,209.33707,265.57373,19.815765,0.5314511038239204,103.41151,106.06861,63.78073,256.68307,267.88614,493.8739,85.568405,209.33707,64,142,2ABA027,72,55.297523,52.85155,85.568405,0.12916673872201676
83.76097,171.72417,23.60284,0.28971832972195244,235.58876,268.15756,19.731667,0.5121112343401053,304.79294,152.08167,50.117725,239.84181,215.6947,413.81705,83.76097,235.58876,65,93,2ABA027,23,20.83245,30.831303,83.76097,0.027616400905391577
88.32066,188.44562,22.795746,0.37102875285244413,89.85957,177.40802,23.320004,0.874243015946165,123.2491,98.115425,60.263905,79.24832,250.17862,173.5021,88.32066,89.85957,66,1354,2ABA128,62,60.09374,61.87384,88.32066,0.19120208197164784
55.19435,104.99031,27.876484,0.37759680888918057,134.7055,171.88536,23.594688,0.699704877999479,124.87868,128.0063,39.311882,129.42392,210.86768,320.11847,55.19435,134.7055,67,466,2ABA064,6,34.471523,46.905518,55.19435,0.3053457499987058
77.89793,138.20149,25.489214,0.2170927998369451,229.96873,280.07333,19.354033,0.6857759715159851,43.21658,61.301994,62.637405,218.65555,278.00995,541.802,77.89793,229.96873,68,592,2ABA068,55,29.294838,44.74479,77.89793,0.15229525280556522
89.56133,186.32573,22.89401,0.3011430429469782,339.9476,366.75568,17.01193,0.5812388594669572,334.4777,180.6134,52.11185,335.66,203.97664,554.9013,89.56133,339.9476,69,163,2ABA030,17,21.0366,28.793222,89.56133,0.17217670447766417
74.891594,150.4292,24.752825,0.30845789836485293,356.72955,389.46222,16.49016,0.5706867903292435,265.0435,115.48106,47.213284,380.1362,148.99596,526.4938,74.891594,356.72955,70,206,2ABA030,60,29.491014,48.164276,74.891594,0.2708764750343531
77.77885,155.95047,24.439735,0.36825049460265347,141.23732,189.46371,22.748947,0.7041654936834131,108.33764,97.09662,54.940907,148.35829,181.8979,301.9157,77.77885,141.23732,71,928,2ABA096,15,53.92017,61.89387,77.77885,0.1743241909160101
91.25096,172.13976,23.581844,0.37563490039828307,85.2103,181.19093,23.13674,0.8958052131941914,201.10182,156.62323,31.839575,46.4034,129.94365,112.713036,91.25096,85.2103,72,1301,2ABA128,9,51.962547,53.79336,91.25096,0.2045147029560452
73.0279,149.07384,24.831438,0.29600624318141155,172.46559,209.66467,21.868963,0.4878923728204969,162.93936,151.19914,54.93173,172.3554,180.22437,358.92404,73.0279,172.46559,73,747,2ABA075,58,29.489143,38.935467,73.0279,0.14899520653810888
56.548424,122.33241,26.548637,0.3728966145664983,138.99277,181.05228,23.143389,0.7905743815857342,77.73325,75.367035,45.561787,151.03954,301.6829,305.9815,56.548424,138.99277,74,333,2ABA044,36,59.03237,69.84358,56.548424,0.4216785207683529
135.40504,241.99046,20.623503,0.2634682857505907,165.79797,233.48662,20.934227,0.6020040912284033,162.23578,111.91242,123.46179,172.42548,262.57965,335.87234,135.40504,165.79797,75,758,2ABA075,69,46.713013,51.081978,135.40504,0.44098237976193133
121.455666,232.8786,20.956877,0.20185976051863094,188.13895,239.17953,20.724985,0.6151223324908517,398.94904,251.72603,61.200092,169.85721,169.10986,341.48227,121.455666,188.13895,76,727,2ABA075,38,28.572992,46.06501,121.455666,0.03466360870302645
154.82509,274.2254,19.537313,0.347852405311427,206.26273,310.57336,18.456182,0.7145400321357225,256.8109,254.62184,77.75947,164.24457,217.71011,267.68103,154.82509,206.26273,77,429,2ABA056,57,59.462753,75.70103,154.82509,-0.21328431219425692
81.15302,135.4441,25.664265,0.3822373003562276,89.84303,129.96954,26.022636,0.8820604015146384,88.62249,95.0063,67.22123,82.236305,123.77535,102.73152,81.15302,89.84303,78,1372,2ABA128,80,65.92537,49.287685,81.15302,0.022729615012271352
78.33965,177.99033,23.29154,0.3057525477876954,251.09518,287.9427,19.113346,0.674360117890419,228.67683,219.08032,43.97921,246.97809,430.2514,622.2341,78.33965,251.09518,79,546,2ABA068,9,36.0828,57.42627,78.33965,0.18029682983834014
85.27749,149.27806,24.819548,0.33921350352989105,181.7585,230.9932,21.027485,0.6579949830824813,96.283875,102.78259,65.699295,199.44705,177.87573,355.8666,85.27749,181.7585,80,1437,2ABA130,70,60.15127,55.993633,85.27749,0.2613606085786713
60.020123,101.2775,28.18921,0.3240240927634422,189.84904,222.45892,21.35447,0.6462510206595866,88.00063,70.50761,46.85242,190.17497,177.43727,380.09937,60.020123,189.84904,81,1399,2ABA130,32,33.68051,53.635296,60.020123,0.052663124386809375
204.33806,339.36285,17.68618,0.32583224776819825,122.8182,223.84282,21.300604,0.8760536594099452,373.29276,191.1391,101.37101,81.59823,72.099815,63.86804,204.33806,122.8182,82,1327,2ABA128,35,45.489895,48.672264,204.33806,0.0005537487970947609
88.48226,152.0918,24.657352,0.380141170270312,207.62576,262.37546,19.921003,0.545577143059986,114.561905,117.622604,60.647167,251.74619,201.11725,418.54108,88.48226,207.62576,83,146,2ABA027,76,61.042503,59.124294,88.48226,0.12142430896331897
